taxonomy	CPSNJ01_350	CPSNJ02_350	CPSNJ03_350	CPSNJ04_350	CPSNJ08_350	CPSNJ09_350	CPSNJ10_350	CPSNJ11_350	CPSNJ13_350	CPSNJ14_350	CPSNJ15_350	CPSNJ16_350	CPSNJ19_350	CPSNJ20_350	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UBA7657		0.01					0.01				0.01			0.01																																0.01							0.01					
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales; f__Micavibrionaceae; g__UM-FILTER-47-13																																			0.01																							
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales; f__UBA2020; g__PALSA-926							0.01			0.01				0.01																																												
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales; f__UBA2020; g__UBA2020		0.02								0.01		0.01		0.01					0.01																																							
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__CAIYRG01	0.06	0.05	0.09	0.06	0.13	0.12	0.12	0.13	0.14	0.14	0.11	0.1	0.09	0.11	0.1	0.05	0.07	0.06	0.11	0.04	0.04	0.11	0.11	0.03	0.02	0.05	0.04	0.04	0.02	0.02	0.05	0.09	0.04	0.04	0.04	0.04	0.09	0.09	0.06	0.06	0.03	0.04	0.04	0.06	0.04	0.05	0.08	0.05	0.1	0.17	0.11	0.09	0.12	0.18	0.18	0.07	0.1	0.11
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__JACADY01																0.01																																										
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__JADZAI01							0.03		0.01	0.02	0.04																		0.01				0.01																		0.01			0.01	0.01	0.01		
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__Rhizomicrobium	0.15	0.14	0.17	0.13	0.27	0.23	0.2	0.22	0.33	0.2	0.23	0.24	0.14	1.36	0.17	0.16	0.17	0.11	0.34	0.09	0.1	0.14	0.15	0.1	0.05	0.06	0.09	0.08	0.08	0.04	0.11	0.19	0.13	0.15	0.07	0.08	0.26	0.12	0.14	0.12	0.08	0.1	0.11	0.12	0.25	0.19	0.12	0.14	0.27	0.25	0.2	0.16	0.28	0.41	0.36	0.23	0.19	0.22
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micropepsales; f__Micropepsaceae; g__SZUA-430		0.02		0.01	0.01	0.01	0.01		0.04	0.03	0.03	0.01		0.01	0.01	0.04	0.11	0.01	0.03	0.03	0.01	0.1	0.01	0.02	0.01		0.02	0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.02	0.03		0.02	0.01	0.01			0.01			0.01	0.01	0.01		0.01	0.04	0.04	0.01		
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Parvibaculales; f__Parvibaculaceae; g__Parvibaculum		0.01								0.01	0.01			0.01	0.01					0.01							0.01			0.01	0.01								0.01		0.01		0.01	0.01						0.01	0.01			0.01				0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__GCA-016699855										0.0		0.01																					0.01								0.01												0.01		0.01		0.01	
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__JAFAZJ01	0.01	0.04	0.01	0.03	0.01	0.01	0.05	0.03	0.02	0.05	0.04	0.03	0.03	0.05	0.01	0.02	0.04	0.01	0.03	0.01	0.02	0.01	0.01	0.02	0.01	0.03	0.03	0.02	0.01	0.01	0.01	0.01	0.04	0.01		0.02	0.03	0.01	0.01	0.02	0.03	0.02	0.01	0.01	0.0	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.07	0.03	0.03	0.02	0.02	0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Reyranella	0.77	0.3	0.47	0.37	0.65	0.4	0.77	0.64	0.77	0.71	0.49	0.77	0.47	0.78	0.12	0.4	0.34	0.29	0.89	0.31	0.29	0.1	0.26	0.42	0.23	0.24	0.35	0.27	0.42	0.34	0.18	0.36	0.58	0.72	0.13	0.33	0.61	0.3	0.29	0.47	0.42	0.33	0.36	0.48	0.41	0.31	0.35	0.35	0.34	0.52	0.34	0.34	0.81	0.59	0.42	0.57	0.39	0.43
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__VGCH01																																																					0.01					
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Reyranellales; f__Reyranellaceae; g__Vineibacter	0.07	0.05	0.08	0.04	0.06	0.04	0.05	0.06	0.05	0.07	0.03	0.12	0.11	0.02	0.04	0.09	0.1	0.05	0.08	0.11	0.09	0.01	0.04	0.05	0.06	0.06	0.05	0.13	0.07	0.02	0.09	0.04	0.04	0.06		0.07	0.06	0.06	0.04	0.07	0.07	0.09	0.05	0.06	0.01	0.03	0.05	0.04	0.04	0.03	0.01	0.04	0.05	0.05	0.06	0.03	0.06	0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Aestuariivirgaceae; g__Aestuariivirga	0.09	0.13	0.01	0.08	0.03	0.01	0.02	0.01	0.03	0.04	0.07	0.03	0.03	0.01	0.01	0.08	0.12	0.02	0.05	0.03	0.03	0.06	0.01	0.03	0.05	0.03	0.06	0.02	0.06	0.07	0.04	0.04	0.1	0.05	0.0	0.11	0.07	0.02	0.05	0.04	0.09	0.04	0.05	0.05	0.08	0.14	0.03	0.06	0.03	0.01	0.02		0.04	0.04	0.03	0.05	0.04	0.03
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Aestuariivirgaceae; g__Anderseniella					0.0																	0.01								0.0						0.01																						
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Aestuariivirgaceae; g__CABJBCQ01	0.01	0.01																			0.01									0.0	0.01	0.01				0.01					0.01					0.02												
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Aestuariivirgaceae; g__JAEUMG01	0.04	0.02	0.02	0.03	0.04		0.03	0.03	0.02	0.02	0.02	0.04	0.03	0.01		0.03	0.02	0.01	0.05	0.02	0.01	0.01	0.01	0.01	0.04	0.02	0.01	0.01	0.04	0.03	0.04	0.04	0.05	0.06	0.01	0.03	0.06	0.01	0.02	0.02	0.04	0.02	0.02	0.03	0.02	0.03	0.01	0.03	0.01	0.02	0.01	0.01	0.02	0.03	0.02	0.02		0.02
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Aestuariivirgaceae; g__Nordella	0.12	0.12	0.1	0.11	0.12	0.07	0.09	0.08	0.13	0.05	0.12	0.11	0.06	0.12	0.02	0.02	0.03	0.01	0.1	0.05	0.09	0.05	0.01	0.07	0.08	0.02	0.06	0.06	0.05	0.05	0.08	0.13	0.03	0.07	0.01	0.16	0.22	0.1	0.1	0.16	0.1	0.09	0.09	0.18	0.07	0.15	0.08	0.08	0.05	0.08	0.07	0.05	0.06	0.08	0.09	0.11	0.04	0.06
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Afifellaceae; g__Afifella	0.02	0.02	0.01		0.01	0.01		0.02			0.01		0.01			0.01	0.01		0.01				0.01		0.01			0.01	0.01	0.02		0.01		0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.03	0.01		0.02	0.01	0.04	0.01				0.01	0.01			0.01	0.01	0.01	0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Afifellaceae; g__Propylenella	0.13	0.08	0.05	0.05	0.06	0.01	0.01	0.07		0.02	0.03	0.02	0.05	0.02	0.01	0.06	0.05	0.02	0.03	0.05	0.04	0.01	0.02	0.01	0.06	0.06	0.02	0.04	0.03	0.08	0.03	0.05	0.04	0.08	0.04	0.11	0.08	0.03	0.04	0.06	0.13	0.08	0.04	0.11	0.09	0.11	0.05	0.04	0.02	0.02	0.03	0.04	0.02	0.02	0.03	0.03	0.04	0.02
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Amorphaceae; g__Acuticoccus																														0.01																												
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Ancalomicrobiaceae; g__Pinisolibacter																			0.01																																							
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__28-YEA-48	0.02	0.01		0.01	0.01			0.01		0.0				0.01			0.01		0.01							0.01			0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01				0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01		0.01	0.01	0.01		0.02
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__65-9	0.01	0.02		0.02	0.01		0.01	0.01		0.01	0.02		0.01	0.01					0.01										0.01				0.01	0.01												0.01		0.02			0.03		0.01	0.01	0.01	0.01	0.01	
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Alsobacter	0.03	0.01			0.0									0.01															0.01	0.01															0.03	0.01		0.01			0.01					0.01		0.02
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Bosea	0.04	0.02		0.01	0.01		0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01		0.01			0.02					0.01			0.01	0.01	0.02	0.01		0.03	0.02	0.03		0.01	0.02		0.01	0.01	0.01	0.01		0.02	0.05	0.02	0.02	0.03	0.02	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.02
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Chelatococcus_A																																		0.01																								
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Enterovirga	0.04	0.01			0.01						0.01								0.01											0.01		0.01		0.01							0.0			0.01	0.04	0.01	0.01	0.01	0.01		0.02			0.01		0.01	0.01	0.02
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__GAS188														0.02																																												
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__GCA-013693735	0.01					0.01		0.01			0.01			0.01															0.01				0.01	0.01			0.01						0.01		0.0	0.01				0.01	0.01			0.01		0.01		
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__JAJKJG01	0.06	0.01	0.01	0.01	0.01								0.01																	0.01				0.01							0.01			0.01	0.04	0.03	0.01	0.01								0.0	0.01	0.03
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__JAJXWB01	0.01																																	0.01			0.02								0.0						0.01							0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Lichenihabitans	0.01																																																									
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium	0.15	0.04	0.03	0.03	0.04	0.02	0.04	0.03	0.02	0.01	0.03	0.02	0.02	0.05	0.01	0.02	0.03		0.04	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.03	0.05	0.02	0.04	0.02	0.07	0.01	0.03	0.04	0.01	0.01	0.03	0.03	0.02	0.02	0.04	0.12	0.07	0.08	0.06	0.04	0.03	0.05	0.05	0.03	0.03	0.03	0.05	0.04	0.05
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylocella						0.01	0.01		0.01																												0.07																					
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylocystis	0.02	0.02		0.01	0.01		0.01	0.02	0.01		0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01					0.01	0.01				0.01	0.01	0.02	0.04	0.01	0.03	0.01	0.07	0.01		0.01	0.01	0.01		0.02	0.01	0.01	0.01	0.01		0.01		0.01	0.01	0.01		0.01		0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylosinus	0.01										0.01			0.0																0.0				0.01							0.01				0.01													
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylovirgula														0.02																																												
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Microvirga	0.46	0.08	0.04	0.05	0.07	0.02	0.04	0.04	0.03	0.03	0.05	0.04	0.05	0.06	0.01	0.03	0.03	0.01	0.08	0.01	0.02		0.01	0.02	0.03	0.02	0.02	0.02	0.06	0.12	0.03	0.05	0.04	0.09	0.02	0.03	0.04	0.02	0.01	0.04	0.05	0.02	0.02	0.05	0.29	0.11	0.1	0.1	0.08	0.05	0.13	0.04	0.05	0.04	0.04	0.09	0.09	0.14
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Rhabdaerophilum	0.01		0.01		0.01		0.01																						0.01	0.01		0.01		0.01						0.01	0.01			0.01	0.01		0.01	0.0	0.01	0.01	0.01	0.01						0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Rhodoblastus			0.01	0.01																																								0.01	0.01													
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Roseiarcus	0.02	0.01	0.01		0.01		0.01			0.01	0.01			0.01		0.01			0.01										0.01			0.01		0.01			0.0								0.01	0.01		0.01				0.01	0.01	0.01		0.01		0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Salinarimonas	0.01																													0.01															0.0													
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Salinarimonas_A	0.02																																																							0.0		0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Saliniramus	0.01																		0.01											0.0															0.01													
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia	0.03	0.05	0.02	0.04	0.01		0.01	0.01		0.01	0.02	0.01	0.01	0.04		0.01	0.01		0.02					0.01	0.01	0.01		0.01	0.03	0.01		0.03	0.03	0.02	0.01	0.01	0.03	0.01		0.02	0.02	0.01	0.01	0.02	0.12	0.13	0.03	0.08	0.05	0.01	0.07	0.06	0.09	0.06	0.03	0.1	0.04	0.08
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Devosiaceae; g__Devosia_A	0.12	0.11	0.04	0.14	0.04	0.02	0.07	0.03	0.02	0.01	0.12	0.03	0.03	0.26	0.01	0.02	0.07	0.01	0.11	0.01	0.02	0.01		0.03	0.02	0.02	0.05	0.01	0.08	0.03	0.01	0.09	0.09	0.08	0.02	0.04	0.09	0.02	0.01	0.02	0.08	0.04	0.02	0.05	0.46	0.26	0.04	0.14	0.09	0.03	0.1	0.07	0.14	0.09	0.08	0.15	0.04	0.13
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__AWTP1-13	0.04	0.13	0.1	0.1	0.25	0.07	0.1	0.12	0.12	0.1	0.12	0.13	0.07	0.06	0.12	0.21	0.3	0.09	0.25	0.16	0.12	0.21	0.06	0.06	0.12	0.01	0.04	0.08	0.05	0.17	0.24	0.46	0.18	0.37	0.03	0.2	0.4	0.17	0.13	0.1	0.17	0.13	0.2	0.14	0.02	0.14	0.15	0.12	0.09	0.07	0.09	0.06	0.1	0.11	0.12	0.04	0.07	0.09
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__CADEFX01	0.01	0.03	0.01	0.01	0.01			0.01			0.01		0.01				0.01		0.03	0.01									0.01		0.0	0.01	0.01	0.02			0.02							0.01		0.04	0.01	0.01			0.01		0.01	0.01				0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Ga0077530	0.02	0.01	0.01								0.01					0.02	0.03		0.03	0.02		0.01			0.01		0.01	0.01	0.01	0.02	0.02	0.02	0.07	0.02	0.02	0.01	0.04			0.01	0.01		0.01	0.01	0.01	0.03	0.01	0.01	0.01		0.01		0.01	0.01				
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Ga0077555																																		0.01																								
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium_A	0.04	0.05	0.03	0.03	0.04		0.01	0.01	0.01		0.01	0.01	0.02	0.02	0.02	0.12	0.12	0.0	0.13	0.03	0.02	0.03		0.02	0.03		0.02	0.02	0.02	0.06	0.05	0.08	0.1	0.17	0.03	0.05	0.09	0.02	0.01	0.05	0.05	0.03	0.02	0.08	0.02	0.13	0.02	0.05	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.03	0.02	0.02
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium_B	0.03	0.01			0.01			0.01			0.01	0.01	0.01	0.07	0.01	0.03	0.04		0.03	0.01		0.02		0.01	0.01			0.01	0.01	0.02	0.02	0.02	0.02	0.03	0.01	0.01	0.02			0.01	0.01	0.01	0.01	0.02	0.03	0.01	0.01	0.01		0.01			0.01	0.01		0.01		0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Hyphomicrobium_C	0.03	0.01	0.01	0.01	0.03		0.01	0.01		0.01	0.02	0.02	0.01	0.01	0.01	0.07	0.11	0.01	0.08	0.03	0.01	0.05	0.01	0.02	0.03	0.01	0.02	0.01	0.01	0.06	0.06	0.08	0.08	0.12	0.02	0.01	0.09	0.02	0.03	0.02	0.04	0.02	0.06	0.03	0.02	0.03	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__JAEUMD01					0.01											0.02	0.01		0.01	0.01	0.01	0.01			0.01					0.0	0.01	0.02	0.01	0.02		0.01	0.02	0.01	0.01		0.01			0.01		0.01		0.01					0.01					
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__JAKAXS01																																0.01	0.01	0.02											0.0													
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__JAKFWF01																						0.01																																				
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__ZC4RG25	0.03	0.01			0.01						0.01					0.02	0.02		0.02	0.01		0.01		0.02					0.01	0.01	0.02	0.03	0.01	0.02		0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.0	0.01							0.01					
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Kaistiaceae; g__Bauldia	0.05	0.06	0.03	0.03	0.06	0.02	0.04	0.03	0.03	0.03	0.05	0.02	0.04	0.06	0.02	0.14	0.14	0.02	0.09	0.04	0.02	0.02	0.01	0.03	0.07	0.02	0.02	0.02	0.02	0.04	0.04	0.08	0.07	0.05	0.06	0.04	0.07	0.03	0.04	0.03	0.08	0.02	0.03	0.03	0.03	0.1	0.03	0.04	0.03	0.03	0.06	0.04	0.04	0.05	0.05	0.05	0.03	0.07
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Kaistiaceae; g__JADLGL01				0.01	0.01		0.01							0.01		0.01	0.02													0.0	0.01	0.01	0.01	0.01			0.02				0.01			0.01		0.01		0.01	0.01		0.01	0.01	0.01	0.02	0.01	0.01		0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Kaistiaceae; g__JADYYB01	0.01	0.02		0.01	0.01		0.0							0.01		0.01	0.01																	0.01						0.01				0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01			0.01				0.03
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Kaistiaceae; g__Kaistia	0.01	0.01			0.01		0.0			0.01				0.01		0.01	0.01			0.01										0.01		0.01	0.01			0.01	0.01			0.01	0.01			0.01	0.01	0.01	0.01	0.01			0.01	0.01	0.01	0.01	0.01	0.01		0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Kaistiaceae; g__Prosthecomicrobium																																													0.0													
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Labraceae; g__Labrys	0.01				0.0														0.01											0.0				0.01												0.01	0.01	0.01										0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae; g__Methyloceanibacter	0.1	0.19	0.13	0.11	0.35	0.18	0.22	0.15	0.16	0.13	0.14	0.11	0.11	0.09	0.3	0.5	0.54	0.25	0.55	0.53	0.21	0.45	0.36	0.08	0.82	0.13	0.09	0.33	0.14	0.97	0.73	0.74	0.49	0.84	0.14	0.5	0.46	0.27	0.23	0.32	0.59	0.49	0.44	0.54	0.02	0.31	0.22	0.2	0.09	0.15	0.15	0.09	0.1	0.2	0.08	0.1	0.1	0.1
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methyloligellaceae; g__Methyloligella																														0.0	0.01																											
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methylopilaceae; g__Hansschlegelia	0.01				0.01						0.01			0.01																		0.02	0.01	0.01							0.01			0.01	0.01			0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.02		
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methylopilaceae; g__JAEZCD01								0.01																						0.01			0.01				0.0				0.01			0.01					0.01		0.01					0.01		0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Methylopilaceae; g__Terrihabitans	0.01	0.01			0.01		0.05	0.01		0.01	0.01			0.01																			0.02	0.02			0.01								0.01	0.01	0.01	0.01	0.02		0.04	0.01	0.06	0.04	0.03	0.03		0.03
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Phreatobacteraceae; g__Phreatobacter	0.02	0.01						0.01			0.01	0.01		0.02					0.01									0.01			0.0		0.01	0.01		0.01	0.01			0.01	0.01	0.01		0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02		0.01	0.01		0.01	0.01	0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Pleomorphomonadaceae; g__Chthonobacter																													0.01																													
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Pleomorphomonadaceae; g__Oharaeibacter		0.01																																												0.01												
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Pleomorphomonadaceae; g__Pleomorphomonas																																														0.01												
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Pseudoxanthobacteraceae; g__Pseudoxanthobacter	0.01			0.01	0.01						0.01					0.01			0.01					0.01							0.01		0.01	0.01	0.01		0.01				0.01				0.01			0.01								0.01		0.0
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__65-79														0.08																											0.0																	
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium		0.01		0.01																												0.01													0.0		0.01											
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aliihoeflea	0.01																																												0.0											0.0		
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium																			0.01																										0.01			0.01										0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aminobacter					0.0																											0.01													0.01			0.01										
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aquamicrobium_A	0.01				0.0	0.01	0.01	0.01	0.01					0.01					0.01													0.01	0.01	0.01			0.01				0.01			0.01	0.01	0.01		0.01	0.01		0.01	0.01				0.01		0.01
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aquibium		0.01																	0.01													0.01					0.01			0.01				0.01	0.0	0.01		0.01			0.01				0.01			
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas		0.01			0.01										0.01				0.01	0.01												0.01				0.01	0.01			0.01	0.01				0.01	0.01	0.01									0.01		
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas_A	0.02	0.01																																											0.01	0.01				0.01						0.01		
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__BOKV01	0.01				0.01						0.01			0.01			0.01		0.01						0.01			0.01		0.0		0.01		0.01		0.01	0.01			0.01	0.01	0.01		0.01	0.01										0.01	0.01		
Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__DUSC01	0.0				0.0		0.01							0.01					0.01						0.01			0.01	0.01		0.01	0.01		0.01		0.01	0.01		0.01	0.01	0.02	0.01	0.01	0.01	0.01			0.01					0.01	0.01		0.01		0.01
