taxonomy	CPSNJ01_350	CPSNJ02_350	CPSNJ03_350	CPSNJ04_350	CPSNJ08_350	CPSNJ09_350	CPSNJ10_350	CPSNJ11_350	CPSNJ13_350	CPSNJ14_350	CPSNJ15_350	CPSNJ16_350	CPSNJ19_350	CPSNJ20_350	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__UBA4085; g__FEN-413																																			0.01																							
Root; d__Bacteria; p__Acidobacteriota; c__Aminicenantia; o__Aminicenantales; f__UBA8522; g__UBA8522																																			0.0																							
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Chloracidobacteriales; f__Chloracidobacteriaceae; g__JACQXX01																0.01																																										
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Chloracidobacteriales; f__JADJPF01; g__JADJPF01	0.01	0.03	0.01	0.02		0.01		0.01	0.01		0.02		0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.05	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.02	0.02		0.02	0.01	0.02	0.01		0.01		0.01			0.01			0.01	0.01	0.01		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Chloracidobacteriales; f__JADJPF01; g__JAEUQL01		0.01												0.01		0.01	0.0					0.01		0.02												0.01					0.01					0.01												
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Chloracidobacteriales; f__JADJPF01; g__JANWYG01																								0.01																																		
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__HR10; f__J050; g__J050																0.01										0.01																																
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__HR10; f__J050; g__JANWZE01															0.01	0.01	0.01			0.01		0.01		0.0				0.01			0.01																											
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__3-1-20CM-3-53-8		0.02		0.02									0.01	0.01															0.01	0.0										0.01	0.01			0.01	0.02	0.05	0.01	0.01				0.01						0.0
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__Aridibacter		0.01																											0.01					0.01														0.0										
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__GCA-002050365	0.03	0.07	0.01	0.04	0.01		0.01	0.01	0.01		0.01	0.01	0.01	0.02		0.01			0.01							0.01	0.01	0.01	0.04	0.02		0.01	0.01	0.03		0.01	0.01			0.01	0.0	0.01		0.04	0.05	0.12	0.05	0.08	0.01	0.01	0.04	0.02			0.03	0.02	0.03	0.06
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JACCRA01		0.01																																											0.01	0.02												
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JACCTF01		0.01																																												0.01												
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JACCYN01		0.01																										0.01																	0.01	0.01												
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JACDEG01		0.01																												0.01															0.01	0.02												
Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales; f__Pyrinomonadaceae; g__JACMLC01	0.02	0.16		0.03	0.01	0.01	0.01		0.01		0.01													0.01				0.01	0.01	0.0	0.01			0.02						0.01	0.01			0.02	0.03	0.16	0.01	0.03		0.01	0.01	0.01			0.01	0.01	0.01	0.02
