accession	clan	clan_description	PSSM_Id	GMSC_count	GMSC_fraction	short_name	description	PSSM_Length	clan_id	short_description	group
03544	TolA-TonB-Cterm	TolA/TonB C-terminal	427361	1495	0.0011023390972027132	TonB_C	Gram-negative bacterial TonB protein C-terminal. The TonB_C domain is the well-characterized C-terminal region of the TonB receptor molecule. This protein is bound to an inner membrane-bound protein ExbB via a globular domain and has a flexible middle region that is likely to help in positioning the C-terminal domain into the iron-transporter barrel in the outer membrane. TonB_C interacts with the N-terminal TonB box of the outer membrane transporter that binds the Fe3+-siderophore complex. The barrel of the transporter, consisting of 22 beta-sheets and an inside plug, binds the iron complex in the barrel entrance.	79	CL0428	Gram-negative bacterial TonB protein C-terminal	TolA/TonB C-terminal
00364	Hybrid	Barrel sandwich hybrid superfamily	395290	1494	0.0011016017466360226	Biotin_lipoyl	Biotin-requiring enzyme. This family covers two Prosite entries, the conserved lysine residue binds biotin in one group and lipoic acid in the other. Note that the HMM does not currently recognize the Glycine cleavage system H proteins.	73	CL0105	Biotin-requiring enzyme	Barrel sandwich hybrid superfamily
00471	Zn_Beta_Ribbon	Zinc beta-ribbon	425701	1427	0.0010521992586677402	Ribosomal_L33	Ribosomal protein L33. 	46	CL0167	Ribosomal protein L33	Ribosomal protein
03992	Dim_A_B_barrel	Dimeric alpha/beta barrel superfamily	427635	1415	0.001043351051867451	ABM	Antibiotic biosynthesis monooxygenase. This domain is found in monooxygenases involved in the biosynthesis of several antibiotics by Streptomyces species. It's occurrence as a repeat in Streptomyces coelicolor SCO1909 is suggestive that the other proteins function as multimers. There is also a conserved histidine which is likely to be an active site residue.	74	CL0032	Antibiotic biosynthesis monooxygenase	Dimeric alpha/beta barrel superfamily
10041			431009	1407	0.0010374522473339247	DUF2277	Uncharacterized conserved protein (DUF2277). Members of this family of hypothetical bacterial proteins have no known function.	74		Uncharacterized conserved protein (DUF2277)	Uncharacterized conserved protein (DUF2277)
01037	Dim_A_B_barrel	Dimeric alpha/beta barrel superfamily	426007	1397	0.0010300787416670169	AsnC_trans_reg	Lrp/AsnC ligand binding domain. The l-leucine-responsive regulatory protein (Lrp/AsnC) family is a family of similar bacterial transcription regulatory proteins. The family is named after two E. coli proteins involved in regulating amino acid metabolism. This entry corresponds to the usually C-terminal regulatory ligand binding domain. Structurally this domain has a dimeric alpha/beta barrel fold.	73	CL0032	Lrp/AsnC ligand binding domain	Dimeric alpha/beta barrel superfamily
04325			427868	1371	0.0010109076269330566	DUF465	Protein of unknown function (DUF465). Family members are found in small bacterial proteins, and also in the heavy chains of eukaryotic myosin and kinesin, C terminal of the motor domain (Myosin pfam00063, Kinesin pfam00225). Members of this family may form coiled coil structures.	48		Protein of unknown function (DUF465)	Domain of unknown function
00037	4Fe-4S	4Fe-4S ferredoxins	394993	1298	0.0009570810355646297	Fer4	4Fe-4S binding domain. Superfamily includes proteins containing domains which bind to iron-sulfur clusters. Members include bacterial ferredoxins, various dehydrogenases, and various reductases. Structure of the domain is an alpha-antiparallel beta sandwich.	24	CL0344	4Fe-4S binding domain	4Fe-4S ferredoxins
03551	HTH	Helix-turn-helix clan	397561	1285	0.0009474954781976498	PadR	Transcriptional regulator PadR-like family. Members of this family are transcriptional regulators that appear to be related to the pfam01047 family. This family includes PadR, a protein that is involved in negative regulation of phenolic acid metabolism.	74	CL0123	Transcriptional regulator PadR-like family	Helix-turn-helix clan
01022	HTH	Helix-turn-helix clan	425993	1277	0.0009415966736641237	HTH_5	Bacterial regulatory protein, arsR family. Members of this family contains a DNA binding 'helix-turn-helix' motif. This family includes other proteins which are not included in the Prosite definition.	45	CL0123	Bacterial regulatory protein, arsR family	Helix-turn-helix clan
