"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"g__Palsa.189"	"City"	"ShangHai"	"CityShangHai"	1.64534786664317	0.00758344118238435	0.311866307144591	2.31611458341163e-05	0.0051035081342305	2.31611458341163e-05	0.00307122057657163	NA	"abundance"	58	33
"g__Povalibacter"	"City"	"ShangHai"	"CityShangHai"	-0.973448710424671	0.00758344118238435	0.208164725574213	2.52936430705786e-05	0.00551347024007278	2.52936430705786e-05	0.00331630922461327	NA	"abundance"	58	58
"g__AA152"	"City"	"ShangHai"	"CityShangHai"	1.82639893941274	0.00758344118238435	0.38152274387234	2.71690195250418e-05	0.00579758277696471	2.71690195250418e-05	0.00352261432041903	NA	"abundance"	58	48
"g__JACQAF01"	"City"	"ShangHai"	"CityShangHai"	4.1794293732564	0	0.995738562663691	2.70096974576569e-05	0.00579758277696471	5.4018665391557e-05	0.00606099813898153	NA	"prevalence"	58	26
"g__JABFSC01"	"City"	"ShangHai"	"CityShangHai"	1.00257148272458	0.00758344118238435	0.21286275603702	2.94414969854717e-05	0.00612669476383486	5.88821271691986e-05	0.00652089280305496	NA	"abundance"	58	57
"g__JACPZP01"	"City"	"ShangHai"	"CityShangHai"	0.960454347344958	0.00758344118238435	0.204003558818811	2.96179995489254e-05	0.00612669476383486	5.92351218719536e-05	0.00652089280305496	NA	"abundance"	58	57
"g__RBG.16.66.20"	"City"	"ShangHai"	"CityShangHai"	1.31461991186481	0.00758344118238435	0.281649496331051	2.95700612107375e-05	0.00612669476383486	2.95700612107375e-05	0.0037917916952538	NA	"abundance"	58	58
"g__FEN.336"	"City"	"ShangHai"	"CityShangHai"	1.00477893160737	0.00758344118238435	0.212470467156307	3.17226651511682e-05	0.00649577644388365	6.3444323974852e-05	0.00691898893890232	NA	"abundance"	58	53
"g__40CM.68.15"	"City"	"ShangHai"	"CityShangHai"	1.4204584210555	0.00758344118238435	0.306206704771151	3.42046023913412e-05	0.00693395699677268	3.42046023913412e-05	0.00429175812155441	NA	"abundance"	58	56
"g__WS.7"	"City"	"ShangHai"	"CityShangHai"	1.12241820864837	0.00758344118238435	0.241420480618571	3.67236235538915e-05	0.00737090392756919	3.67236235538915e-05	0.00455880811968468	NA	"abundance"	58	55
"g__Nocardioides"	"City"	"ShangHai"	"CityShangHai"	-1.5869079074723	0.00758344118238435	0.350788833019462	3.92930625461307e-05	0.00780930356799179	3.92930625461307e-05	0.00477615361302916	NA	"abundance"	58	58
