taxonomy	cpsnj01	cpsnj02	cpsnj03	cpsnj04	cpsnj08	cpsnj09	cpsnj10	cpsnj11	cpsnj13	cpsnj14	cpsnj15	cpsnj16	cpsnj19	cpsnj20	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Bacillota_G	0.04	0.01	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.03	0.03	0.02	0.04	0.02	0.03	0.04	0.04	0.03	0.02	0.03	0.03	0.03	0.02	0.02	0.03	0.04	0.03	0.05	0.01	0.1	0.03	0.02	0.03	0.03	0.02	0.02	0.02	0.04	0.03	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.03	0.01
Root; d__Bacteria; p__Bacteroidota	4.63	4.24	2.73	4.59	2.52	2.99	4.12	3.13	3.54	3.54	4.11	3.33	2.86	2.75	1.07	2.07	1.96	1.76	3.19	1.5	1.42	1.06	2.31	1.46	1.95	2.52	2.88	1.31	5.33	0.85	1.13	1.8	3.38	2.19	1.78	1.87	2.18	2.1	2.39	2.2	1.66	1.3	1.96	1.89	6.36	4.71	3.6	5.13	5.16	4.88	5.47	4.94	5.67	4.29	4.45	6.1	4.11	5.76
Root; d__Bacteria; p__Bdellovibrionota	0.47	0.87	0.31	0.6	0.26	0.33	0.71	0.43	0.35	0.55	1.01	0.42	0.25	0.39	0.1	0.21	0.19	0.13	0.32	0.13	0.18	0.11	0.17	0.23	0.22	0.39	0.22	0.17	1.02	0.17	0.09	0.12	0.27	0.17	0.36	0.2	0.15	0.16	0.2	0.2	0.24	0.18	0.28	0.25	0.29	0.46	0.24	0.52	0.52	0.27	0.64	0.47	0.65	0.39	0.34	0.54	0.24	0.61
Root; d__Bacteria; p__Bipolaricaulota																										0.0		0.0	0.01	0.0																												
Root; d__Bacteria; p__CAKKQC01															0.01	0.01		0.01				0.02	0.02																				0.01															
Root; d__Bacteria; p__CSP1-3	0.01	0.03	0.02	0.03	0.02	0.01	0.01	0.01		0.0	0.06	0.01	0.04	0.03	0.06	0.03	0.02	0.03		0.01	0.06	0.11		0.1	0.01	0.02	0.03	0.03	0.02	0.04	0.03	0.05	0.01	0.01	0.04	0.03	0.04	0.01	0.01	0.02	0.03	0.02	0.02	0.01		0.03	0.03	0.03	0.01		0.01	0.01			0.08	0.03	0.04	0.01
Root; d__Bacteria; p__CSSED10-310	0.0	0.0	0.01	0.01	0.01	0.01	0.01	0.01		0.01		0.01			0.01	0.0	0.01	0.0	0.0	0.01	0.01	0.01	0.0		0.01	0.0	0.01	0.01	0.0	0.0	0.01	0.01		0.01		0.02	0.01	0.01	0.0		0.01	0.01	0.0	0.01		0.0	0.01		0.01	0.01	0.01	0.01		0.01		0.0	0.01	
Root; d__Bacteria; p__Calditrichota																0.01		0.01					0.0				0.01				0.0				0.01			0.0	0.01										0.01									
Root; d__Bacteria; p__Campylobacterota				0.01			0.0															0.0	0.01		0.0										0.0	0.01	0.0				0.0		0.0					0.0	0.01						0.01	0.01		0.0
Root; d__Bacteria; p__Chlamydiota	0.03	0.04	0.01	0.02	0.04	0.02	0.06	0.03	0.04	0.02	0.05	0.05	0.02	0.07	0.05	0.1	0.1	0.05	0.04	0.04	0.06	0.12	0.08	0.07	0.12	0.02	0.09	0.04	0.03	0.02	0.05	0.06	0.03	0.02	0.1	0.07	0.04	0.1	0.09	0.05	0.03	0.05	0.08	0.02	0.01	0.01	0.01	0.03	0.01	0.03	0.02	0.01	0.02	0.02	0.06	0.02	0.01	0.02
Root; d__Bacteria; p__Chloroflexota	4.51	5.89	4.42	4.57	5.03	2.19	2.27	2.73	3.22	2.34	4.18	2.81	7.28	5.49	3.82	5.61	6.23	6.04	5.36	5.2	4.8	6.42	4.06	6.4	6.67	4.65	4.89	5.86	2.99	7.36	6.21	5.51	6.24	6.23	9.19	5.41	6.16	3.58	3.71	4.38	5.58	4.76	4.36	5.96	3.19	5.97	5.0	4.9	3.33	3.27	3.2	2.85	2.33	3.18	5.81	3.42	5.96	3.66
Root; d__Bacteria; p__Cyanobacteriota	0.05	0.23	0.14	0.12	0.07	0.12	0.12	0.07	0.14	0.13	0.17	0.22	0.06	0.09	0.17	0.13	0.14	0.09	0.12	0.12	0.12	0.08	0.07	0.09	0.15	0.15	0.11	0.15	0.16	0.17	0.14	0.06	0.1	0.07	0.15	0.08	0.14	0.21	0.22	0.04	0.12	0.09	0.16	0.06	0.03	0.09	0.05	0.06	0.06	0.06	0.08	0.05	0.1	0.09	0.08	0.08	0.07	0.07
Root; d__Bacteria; p__Deinococcota	0.01	0.02		0.01							0.0	0.01	0.01	0.02			0.01			0.01					0.01	0.01	0.01	0.01	0.03		0.01			0.01	0.01							0.01		0.01	0.02	0.0	0.01	0.01			0.01				0.01	0.02		
Root; d__Bacteria; p__Dependentiae	0.03	0.02	0.01	0.01	0.03	0.03	0.04	0.03	0.04	0.02	0.03	0.07	0.01	0.04	0.06	0.06	0.05	0.06	0.02	0.06	0.06	0.11	0.02	0.02	0.09	0.01	0.02	0.02	0.02	0.01	0.06	0.04	0.02	0.01	0.08	0.06	0.02	0.12	0.13	0.03	0.03	0.07	0.05	0.01	0.01	0.02		0.01	0.01	0.04	0.01	0.01	0.03	0.01	0.05	0.02	0.01	0.01
Root; d__Bacteria; p__Desulfobacterota	0.07	0.11	0.16	0.11	0.14	0.15	0.12	0.11	0.13	0.17	0.16	0.14	0.13	0.07	0.24	0.25	0.25	0.27	0.11	0.19	0.24	0.29	0.2	0.21	0.2	0.19	0.17	0.18	0.1	0.12	0.23	0.16	0.22	0.12	1.38	0.13	0.14	0.17	0.19	0.14	0.14	0.16	0.23	0.14	0.05	0.09	0.1	0.11	0.1	0.08	0.12	0.1	0.11	0.1	0.16	0.09	0.13	0.08
Root; d__Bacteria; p__Desulfobacterota_B	0.92	1.43	2.39	2.23	2.53	4.49	3.57	2.92	3.77	3.42	2.22	2.19	2.28	1.72	6.4	3.93	3.52	4.25	1.29	3.52	4.07	4.89	3.93	4.03	3.42	2.76	2.8	3.14	1.74	2.18	3.71	2.48	1.97	1.45	2.03	2.48	2.91	4.17	4.07	2.5	2.55	3.05	3.97	2.97	0.36	0.97	1.87	1.94	2.02	2.67	1.83	1.92	1.71	2.28	2.47	1.16	1.62	1.12
Root; d__Bacteria; p__Desulfobacterota_C													0.0		0.02	0.07	0.12	0.02		0.01		0.0		0.02	0.01	0.02	0.01	0.02			0.02		0.05	0.01	0.15		0.01				0.01									0.01								
Root; d__Bacteria; p__Desulfobacterota_D		0.01	0.01	0.07	0.0				0.01	0.03		0.06	0.02	0.03	0.29	0.25	0.22	0.08	0.02	0.04	0.11	0.24	0.03	0.54	0.1	0.01	0.05	0.11	0.02	0.03	0.16	0.04	0.01		0.02	0.07	0.1	0.09	0.12	0.01	0.01	0.07	0.2	0.02				0.02		0.0			0.04	0.01	0.03			0.01
Root; d__Bacteria; p__Desulfobacterota_E				0.01	0.01				0.0					0.01	0.05	1.1	1.11	1.65		0.03	0.01	0.03	0.01	0.04	0.02	0.02	0.01	0.18			0.01	0.0	0.2		0.74		0.02	0.01	0.01		0.01	0.01	0.01	0.01				0.0		0.0								
Root; d__Bacteria; p__Desulfobacterota_F	0.03	0.09	0.09	0.07	0.08	0.08	0.06	0.05	0.06	0.09	0.06	0.08	0.11	0.05	0.22	0.24	0.25	0.61	0.16	0.64	0.17	0.2	0.15	1.48	0.35	0.24	0.55	0.44	0.08	0.13	0.57	0.2	0.49	0.08	0.56	0.33	0.29	0.12	0.1	0.05	0.18	0.24	0.09	0.05	0.01	0.05	0.05	0.07	0.05	0.09	0.04	0.04	0.04	0.1	0.09	0.04	0.06	0.04
Root; d__Bacteria; p__Desulfobacterota_G																0.01	0.01																		0.06								0.01															
Root; d__Bacteria; p__Dormibacterota	0.0	0.01		0.0	0.01	0.0	0.01	0.01	0.03		0.01			0.01		0.0	0.0	0.0			0.01	0.0		0.01		0.01				0.01	0.01		0.01		0.0	0.01		0.01		0.01					0.0	0.01			0.01	0.01			0.0		0.0		0.0	0.0
Root; d__Bacteria; p__Eisenbacteria	0.04	0.36	0.91	0.75	1.27	1.17	0.83	0.6	1.02	0.9	0.91	1.81	1.1	0.39	1.99	1.06	1.12	2.44	1.31	1.68	2.19	2.27	2.79	1.2	1.29	1.73	1.44	1.7	1.16	0.31	1.7	1.47	0.82	0.5	0.49	1.58	1.39	2.13	2.02	1.33	0.88	1.72	1.9	0.86	0.05	0.24	0.51	0.57	0.71	0.86	0.29	0.49	0.66	0.99	1.62	0.68	0.84	0.28
Root; d__Bacteria; p__Elusimicrobiota	0.12	0.24	0.2	0.24	0.26	0.2	0.3	0.22	0.27	0.3	0.34	0.23	0.16	0.24	0.22	0.26	0.25	0.23	0.38	0.29	0.27	0.2	0.25	0.22	0.29	0.43	0.3	0.22	0.22	0.07	0.1	0.09	0.19	0.21	0.37	0.22	0.12	0.27	0.3	0.2	0.22	0.19	0.22	0.12	0.11	0.23	0.08	0.22	0.27	0.17	0.19	0.17	0.27	0.38	0.26	0.21	0.17	0.16
Root; d__Bacteria; p__Eremiobacterota	0.02	0.05	0.02	0.01	0.01	0.03	0.02	0.02	0.01	0.02	0.03	0.02	0.01	0.05	0.01	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.01	0.03	0.01	0.04	0.03	0.03	0.03	0.01	0.01	0.01	0.02	0.02	0.03	0.03	0.01	0.01	0.01	0.04	0.04	0.02	0.02	0.03	0.01	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.04	0.02	0.02	0.01	0.01	0.01
Root; d__Bacteria; p__FCPU426																0.02	0.02					0.01																																				
Root; d__Bacteria; p__FEN-1099																																			0.01																							
Root; d__Bacteria; p__Fibrobacterota	0.05	0.03	0.0	0.03	0.0	0.01	0.0	0.01	0.01	0.01	0.02	0.01	0.01	0.02		0.01	0.01		0.03	0.02	0.01	0.0	0.01	0.02	0.02	0.03	0.03	0.01	0.11	0.01	0.0	0.01			0.29	0.01	0.01	0.02	0.03	0.01	0.03	0.02	0.01	0.01	0.02	0.05	0.01	0.03	0.01	0.0	0.01	0.01	0.03	0.01	0.01	0.03	0.02	0.03
Root; d__Bacteria; p__Gemmatimonadota	2.51	5.35	4.38	4.85	3.04	2.12	2.0	2.06	2.74	2.18	2.91	2.77	3.37	6.22	5.01	3.63	3.8	6.09	2.94	5.15	5.08	4.61	7.12	7.61	3.04	4.04	4.26	4.26	3.19	2.83	3.86	3.37	2.3	1.78	6.84	3.85	3.31	4.15	4.04	5.22	2.52	3.9	3.7	3.77	3.14	4.61	4.76	3.77	3.78	2.61	3.31	3.02	3.0	2.96	3.78	3.85	3.61	4.53
Root; d__Bacteria; p__Hydrogenedentota		0.01		0.01		0.01	0.03	0.01	0.02	0.04	0.05	0.02			0.04	0.03	0.04	0.11	0.01	0.01	0.02	0.1	0.13	0.03	0.06	0.04	0.05	0.01	0.01	0.01	0.05		0.05		0.14	0.01	0.02	0.06	0.06	0.01	0.02	0.01	0.01		0.01	0.01	0.01	0.01	0.02		0.02	0.01	0.03	0.02	0.03	0.01		0.01
Root; d__Bacteria; p__JABDJQ01								0.01							0.01	0.01		0.02		0.01	0.02	0.01	0.02		0.01	0.01		0.01			0.03	0.01	0.01					0.02	0.01		0.01	0.01	0.01											0.01	0.01			
Root; d__Bacteria; p__JACPWU01															0.01							0.01									0.01	0.01																0.01										
Root; d__Bacteria; p__KSB1				0.01				0.01		0.01			0.01	0.01	0.15	0.06	0.06	0.1	0.01	0.04	0.11	0.12	0.08	0.13	0.09	0.03	0.04	0.09	0.01	0.0	0.11	0.04	0.01		0.01	0.08	0.01	0.08	0.1	0.01	0.01	0.09	0.06	0.01				0.01	0.01					0.01	0.02		0.0	
Root; d__Bacteria; p__Krumholzibacteriota		0.08	0.18	0.14	0.25	0.24	0.2	0.15	0.23	0.25	0.13	0.27	0.14	0.06	0.63	0.39	0.36	0.64	0.38	0.62	0.89	0.35	0.68	0.23	0.41	0.42	0.39	0.45	0.25	0.07	0.5	0.34	0.27	0.04	0.08	0.53	0.31	0.97	0.91	0.63	0.09	0.65	0.81	0.27		0.03	0.11	0.1	0.19	0.16	0.1	0.1	0.18	0.22	0.31	0.09	0.13	0.02
Root; d__Bacteria; p__Latescibacterota				0.0	0.0			0.01		0.0					0.01	0.01	0.01	0.02	0.0		0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.0		0.0	0.01	0.01	0.01		0.04	0.01	0.0	0.01	0.01			0.01	0.01				0.0	0.0				0.0					0.01	
Root; d__Bacteria; p__Margulisbacteria																																			0.01																							
