BGC_region,Start,End,Length
c00134_S25rbin...region002,108119,162160,54041
c00005_S408bin...region001,54016,108034,54018
c00056_SRR1284...region002,56895,110910,54015
c00246_SRR1234...region001,0,54015,54015
c00074_SRR3982...region001,116669,170630,53961
c00215_D3rbin....region001,0,53940,53940
c00123_SRR8879...region001,0,53909,53909
c00054_SRR7003...region001,53068,106963,53895
c00576_S329bin...region001,0,53884,53884
c00111_zpcx_16...region001,23580,77455,53875
c00124_S312bin...region001,9357,63183,53826
c00256_SRR8543...region001,0,53768,53768
c00137_SRR1095...region001,0,53730,53730
c00021_SRR1174...region001,0,53723,53723
c00003_SRR1955...region001,52187,105897,53710
c00057_S225bin...region001,7698,61386,53688
c00242_SRR8536...region001,0,53650,53650
c00044_SRR6185...region002,241607,295247,53640
c00092_SRR8544...region001,12503,66063,53560
c00051_SRR7975...region002,71389,124921,53532
c00414_R105bin...region001,350,53867,53517
c00130_SRR7102...region001,40593,94106,53513
c00043_SRR1184...region002,184527,238012,53485
c00046_SRR1094...region001,0,53479,53479
c00030_S264bin...region001,16055,69501,53446
c00190_SRR7093...region001,1,53413,53412
c00045_SRR1265...region001,8858,62247,53389
c00122_SRR1234...region001,23791,77068,53277
c00158_SRR7101...region001,1216,54447,53231
c00073_GM3bin....region001,41358,94573,53215
c00084_SRR6958...region001,0,53182,53182
c00296_SRR1094...region001,0,53181,53181
c00012_SRR7967...region001,0,53179,53179
c00099_S7rebin...region001,0,53174,53174
c00037_S406bin...region001,700,53866,53166
c00042_SRR1095...region002,88234,141337,53103
c00604_SRR5882...region001,0,53058,53058
c00048_SRR1049...region001,174577,227629,53052
c00029_SRR9650...region001,4889,57939,53050
c00029_S262bin...region001,19528,72566,53038
c00137_S276bin...region001,14719,67728,53009
c00046_SRR1183...region002,291366,344365,52999
c00087_SRR8879...region001,3263,56261,52998
c00039_SRR1955...region002,174417,227404,52987
c00109_SRR7448...region001,16162,69149,52987
c00402_SRR1268...region001,49901,102883,52982
c00239_SRR6474...region001,38120,91074,52954
c00051_SRR7098...region001,12019,64970,52951
c00058_SRR1208...region001,191016,243961,52945
c00026_SRR5581...region001,5130,58036,52906
c00135_SRR3402...region001,0,52845,52845
c00021_SRR7097...region001,9906,62703,52797
c00133_SRR1167...region002,260882,313665,52783
c00153_SRR1183...region002,58421,111187,52766
c00285_SRR1099...region001,1642,54382,52740
c00253_SRR5579...region001,0,52695,52695
c00054_SRR1127...region001,14771,67450,52679
c00015_SRR1183...region002,40813,93444,52631
c00318_S400bin...region001,0,52619,52619
c00064_S237bin...region002,39338,91949,52611
c00112_S75rbin...region001,14429,67038,52609
c00059_S326bin...region001,27262,79846,52584
c00101_SRR1234...region001,18602,71175,52573
c00009_S5rebin...region001,86432,138982,52550
c00079_SRR6195...region001,0,52537,52537
c00038_SRR6683...region001,2038,54521,52483
c00092_SRR5829...region001,52758,105232,52474
c01102_S75rbin...region001,8018,60468,52450
c00181_S379bin...region001,0,52420,52420
c00051_SRR7882...region001,0,52413,52413
c00011_SRR7524...region001,40802,93212,52410
c00026_SRR1095...region003,209106,261512,52406
c00026_SRR6185...region002,355996,408394,52398
c00060_SRR5582...region001,432,52814,52382
c00096_SRR1265...region001,0,52378,52378
c00027_SRR6474...region001,196513,248878,52365
c00154_SRR7141...region001,0,52319,52319
c00344_S315bin...region001,0,52314,52314
c00266_SRR1095...region001,0,52280,52280
c00111_SRR5823...region001,847,53116,52269
c00147_S32rbin...region001,0,52264,52264
c00011_SRR7468...region001,51362,103620,52258
c00024_SRR1094...region001,60964,113220,52256
c00054_S313bin...region001,0,52188,52188
c00009_SRR1179...region001,143143,195327,52184
c00147_S25rbin...region001,20513,72697,52184
c00101_SRR6201...region001,228661,280824,52163
c00507_SRR5582...region001,0,52156,52156
c00018_SRR7882...region001,64633,116788,52155
c00011_SRR1095...region003,445610,497752,52142
c00272_SRR5690...region001,5110,57252,52142
c00063_SRR6474...region001,0,52119,52119
c00068_SRR5209...region002,109986,162081,52095
c00075_SRR5581...region001,46832,98922,52090
c00005_SRR8443...region001,10893,62968,52075
c00221_SRR6266...region001,9308,61371,52063
c00202_S276bin...region001,3918,55971,52053
c00202_S134bin...region001,28628,80654,52026
c00113_SRR1237...region001,0,52002,52002
c00388_SRR5855...region001,8231,60196,51965
c00044_S32rbin...region002,39664,91611,51947
c00012_SRR1167...region001,990,52927,51937
c00319_SRR1284...region001,0,51915,51915
c00042_SRR1015...region001,0,51887,51887
c00047_SRR6048...region001,133398,185260,51862
c00027_SRR1167...region002,206491,258341,51850
c00284_SRR6056...region001,27247,79080,51833
c00072_SRR1161...region001,1538,53354,51816
c00011_SRR1164...region001,378841,430636,51795
c00011_SRR7976...region001,12509,64297,51788
c00087_SRR5195...region001,0,51757,51757
c00015_SRR8443...region001,52611,104361,51750
c00008_SRR1955...region003,82964,134710,51746
c00272_SRR7976...region001,0,51742,51742
c00026_SRR1144...region001,137418,189145,51727
