sample	mean	tmean10	median
SRR25158390	0.9713747234679135	0.9713747234679135	0.9713747234679135
SRR25158348	0.9713608547985481	0.9713608547985481	0.9713608547985481
SRR25158505	0.9713660761431999	0.9713660761431999	0.9713660761431999
SRR25158406	0.9713656839435119	0.9713656839435119	0.9713656839435119
SRR25158335	0.9713596783160645	0.9713596783160645	0.9713596783160645
SRR25158341	0.9713068617738733	0.9713068617738733	0.9713068617738733
SRR25158353	0.9712856569508242	0.9712856569508242	0.9712856569508242
SRR25158485	0.9713767998470235	0.9713767998470235	0.9713767998470235
SRR25158378	0.9713433095546173	0.9713433095546173	0.9713433095546173
SRR25158250	0.9713281282321302	0.9713281282321302	0.9713281282321302
SRR25158379	0.9713673667282996	0.9713673667282996	0.9713673667282996
SRR25158478	0.9713804090271088	0.9713804090271088	0.9713804090271088
SRR25158475	0.9713819336856051	0.9713819336856051	0.9713819336856051
SRR25158343	0.9713427751037844	0.9713427751037844	0.9713427751037844
SRR25158268	0.9713686719458725	0.9713686719458725	0.9713686719458725
SRR25158513	0.9713846665217861	0.9713846665217861	0.9713846665217861
SRR25158192	0.9713954152392259	0.9713954152392259	0.9713954152392259
SRR25158237	0.9713682922589669	0.9713682922589669	0.9713682922589669
SRR25158373	0.9713812724030629	0.9713812724030629	0.9713812724030629
SRR25158254	0.9713233981479488	0.9713233981479488	0.9713233981479488
SRR25158351	0.9713422937843471	0.9713422937843471	0.9713422937843471
SRR25158443	0.9713688498649178	0.9713688498649178	0.9713688498649178
SRR25158180	0.9713853174859931	0.9713853174859931	0.9713853174859931
SRR25158187	0.9713700765405302	0.9713700765405302	0.9713700765405302
SRR25158327	0.971369712767828	0.971369712767828	0.971369712767828
SRR25158377	0.971387734425973	0.971387734425973	0.971387734425973
SRR25158447	0.9713450652774442	0.9713450652774442	0.9713450652774442
SRR25158367	0.9713574003071089	0.9713574003071089	0.9713574003071089
SRR25158439	0.9713291232669502	0.9713291232669502	0.9713291232669502
SRR25158473	0.9713674011196894	0.9713674011196894	0.9713674011196894
SRR25158372	0.9713745980018158	0.9713745980018158	0.9713745980018158
SRR25158492	0.9713628899498767	0.9713628899498767	0.9713628899498767
SRR25158274	0.9713618151818693	0.9713618151818693	0.9713618151818693
SRR25158512	0.9713599734944809	0.9713599734944809	0.9713599734944809
SRR25158336	0.9713642026017383	0.9713642026017383	0.9713642026017383
SRR25158527	0.9713639386784192	0.9713639386784192	0.9713639386784192
SRR25158531	0.9713799534323597	0.9713799534323597	0.9713799534323597
SRR25158413	0.971376826108417	0.971376826108417	0.971376826108417
SRR25158303	0.9713815418432954	0.9713815418432954	0.9713815418432954
SRR25158337	0.971266626237283	0.971266626237283	0.971266626237283
SRR25158483	0.971375320241675	0.971375320241675	0.971375320241675
SRR25158418	0.9713602573810405	0.9713602573810405	0.9713602573810405
SRR25158175	0.9713513727514405	0.9713513727514405	0.9713513727514405
SRR25158328	0.9713536586198802	0.9713536586198802	0.9713536586198802
SRR25158212	0.9713737958522453	0.9713737958522453	0.9713737958522453
SRR25158422	0.9713713224252426	0.9713713224252426	0.9713713224252426
SRR25158370	0.9713826066048421	0.9713826066048421	0.9713826066048421
SRR25158198	0.971351435026155	0.971351435026155	0.971351435026155
SRR25158464	0.9713598984537427	0.9713598984537427	0.9713598984537427
SRR25158374	0.9713689674350086	0.9713689674350086	0.9713689674350086
SRR25158438	0.9712051151839397	0.9712051151839397	0.9712051151839397
SRR25158294	0.9713786946267401	0.9713786946267401	0.9713786946267401
SRR25158448	0.9713675359097222	0.9713675359097222	0.9713675359097222
SRR25158214	0.971359623100023	0.971359623100023	0.971359623100023
