sample,Shannon_index
SRR25158460,7.401851863289597
SRR25158384,7.557337576141946
SRR25158331,7.641117094665412
SRR25158175,7.777645330428053
SRR25158286,7.6190881635774685
SRR25158266,7.6652966026482225
SRR25158377,6.813449591144228
SRR25158349,7.8911060887963895
SRR25158339,7.709803674496285
SRR25158272,7.31269959823108
SRR25158405,7.4727348075125235
SRR25158316,7.9647432218370815
SRR25158457,7.11031782091247
SRR25158396,7.6617161498468835
SRR25158452,6.997835900632755
SRR25158381,7.391950307147954
SRR25158447,7.335197064865559
SRR25158203,7.592016745022057
SRR25158433,7.806423838414615
SRR25158453,7.4375215449879795
SRR25158312,7.255471960101679
SRR25158283,7.671448036236707
SRR25158371,7.65507261848925
SRR25158264,7.765832363772344
