sample,Simpson_index
SRR25158455,0.9972211334205584
SRR25158527,0.9982866881910711
SRR25158370,0.9944126955165313
SRR25158448,0.9977520204599669
SRR25158524,0.9981548406692291
SRR25158280,0.9982574625588743
SRR25158428,0.9975333432327571
SRR25158187,0.994849311173077
SRR25158331,0.9978898272202936
SRR25158212,0.9981648809249439
SRR25158320,0.9987927538117503
SRR25158536,0.996845104061269
SRR25158505,0.9983058021891191
SRR25158516,0.9981051542721625
SRR25158431,0.9980571270035618
SRR25158313,0.9982583883880654
SRR25158511,0.9971861912235047
SRR25158490,0.9978563441018181
SRR25158188,0.9972650314180914
SRR25158318,0.998664024050455
SRR25158259,0.9971160728991862
SRR25158489,0.9981121903253446
SRR25158230,0.9984230721623765
