sample	Chao1	Simpson	Shannon
SRR25158334	4206.444388378491	0.9713363169973922	7.310427623299482
SRR25158212	6764.06301768382	0.9713737958522453	7.816122052455469
SRR25158462	3343.1556776202615	0.9713714947720141	7.148792804734954
SRR25158377	2821.9223481437343	0.971387734425973	6.490106083917466
SRR25158505	5429.8802726455215	0.9713660761431999	7.509145340076159
SRR25158287	5826.324620544699	0.9713529788962976	7.6258777616678
SRR25158284	4336.2492395181725	0.9713568764865421	7.327567196849012
SRR25158234	5820.805146189536	0.9713709252941177	7.468136069832728
SRR25158488	4806.101524109104	0.9713591807199223	7.376627323733007
SRR25158406	4642.646481293607	0.9713656839435119	7.356833145563473
SRR25158272	3026.1756686035687	0.9713514118506602	7.075431733034768
SRR25158318	3685.2270971329053	0.9713455023310735	7.260724887957243
SRR25158525	4837.4405419928535	0.9713754792864747	7.460534801721719
SRR25158537	3785.777901376695	0.9713234715756914	7.295816419924181
SRR25158175	3620.5621341747838	0.9713513727514403	7.2518422237974445
SRR25158521	4227.669293906819	0.97137153848797	7.296753446903716
SRR25158298	842.5388860470595	0.9711442122403785	5.944511944089967
SRR25158321	4269.744052843846	0.9713540918721005	7.385026362951696
SRR25158324	3961.5833742666855	0.9713791821193191	7.260025021027581
SRR25158456	3855.4995611016197	0.9713816856092227	7.368752796300337
SRR25158483	4644.12930020445	0.971375320241675	7.381748747480432
SRR25158414	4938.8037609305775	0.9713864395088192	7.429780565068099
SRR25158240	3990.8030247778524	0.9713701735009288	7.226282919234432
SRR25158427	4481.960250296901	0.9713630539811261	7.304448019885437
SRR25158496	5113.332533878939	0.9713837962022632	7.484698181617154
SRR25158457	3952.5405227026154	0.9713275922930245	7.2719978231693005
SRR25158535	3455.8444184970735	0.9713768254781734	7.176542539262657
SRR25158391	4096.143169257459	0.9713584559646022	7.2840703780886935
